 4652 gCH3OCH3  CRP                 gCH4O     gCH2                                    3.64e-15  0.00      0.0
 4653 gCH3OCH3  CRP                 gCH3      gCH3      gO                            3.64e-15  0.00      0.0
 4654 gCH3OCH3  CRP                 gH2CO     gCH4                                    7.28e-15  0.00      0.0
 4655 gCH4O     CRP                 gH2CO     gH        gH                            4.29e-16  0.00      0.0
 4656 gCH4O     CRP                 gHCO      gH        gH        gH                  4.29e-16  0.00      0.0
 4657 gCH4O     CRP                 gCO       gH2       gH        gH                  4.29e-16  0.00      0.0
 4658 gCH4O     CRP                 gCH3      gOH                                     9.36e-15  0.00      0.0
 4659 gCH4O     CRP                 gH2CO     gH2                                     9.36e-15  0.00      0.0
 4660 gCH5N     CRP                 gCH3      gNH2                                    6.58e-15  0.00      0.0
 4661 gCH5N     CRP                 gCH3N     gH2                                     6.58e-15  0.00      0.0
 4662 gCO       CRP                 gO        gC                                      3.90e-17  0.00      0.0
 4663 gH2S      CRP                 gS        gH        gH                            1.11e-14  0.00      0.0
 4664 gH2S      CRP                 gHS       gH                                      1.11e-14  0.00      0.0
 4665 gHCO      CRP                 gCO       gH                                      1.52e-14  0.00      0.0
 4666 gCH2O2    CRP                 gCO2      gH        gH                            8.45e-15  0.00      0.0
 4667 gHCS      CRP                 gCS       gH                                      1.95e-14  0.00      0.0
 4668 gHNO      CRP                 gNO       gH                                      1.30e-14  0.00      0.0
 4669 gNH2      CRP                 gNH       gH                                      2.82e-15  0.00      0.0
 4670 gNH2      CRP                 gN        gH        gH                            5.63e-15  0.00      0.0
 4671 gNH3      CRP                 gNH2      gH                                      3.74e-15  0.00      0.0
 4672 gNH3      CRP                 gNH       gH        gH                            3.74e-15  0.00      0.0
 4673 gNO       CRP                 gN        gO                                      6.42e-15  0.00      0.0
 4674 gO2       CRP                 gO        gO                                      1.52e-15  0.00      0.0
 4675 gOCS      CRP                 gCS       gO                                      6.24e-15  0.00      0.0
 4676 gOCS      CRP                 gCO       gS                                      1.25e-14  0.00      0.0
 4677 gC10      PHOTON              gC9       gC                                      1.00e-09  0.00      1.7
 4678 gC2       PHOTON              gC        gC                                      4.70e-11  0.00      2.6
 4679 gC2H      PHOTON              gC2       gH                                      1.00e-09  0.00      1.7
 4680 gC2H2     PHOTON              gC2H      gH                                      1.81e-09  0.00      1.7
 4681 gC2H3     PHOTON              gC2H2     gH                                      1.00e-09  0.00      1.7
 4682 gC2H4     PHOTON              gC2H2     gH2                                     1.62e-09  0.00      1.6
 4683 gC2H5     PHOTON              gC2H4     gH                                      1.00e-09  0.00      1.7
 4684 gC2H5OH   PHOTON              gC2H4     gH2O                                    1.38e-09  0.00      1.7
 4685 gC2H6     PHOTON              gC2H4     gH2                                     1.00e-09  0.00      1.7
 4686 gC2H6CO   PHOTON              gC2H2O    gCH4                                    1.00e-09  0.00      1.7
 4687 gC2N      PHOTON              gC2       gN                                      1.00e-10  0.00      1.7
 4688 gC2N      PHOTON              gCN       gC                                      1.00e-09  0.00      1.7
 4689 gCCO      PHOTON              gCO       gC                                      5.00e-10  0.00      1.7
 4690 gCCO      PHOTON              gC2       gO                                      5.00e-10  0.00      1.7
 4691 gC2S      PHOTON              gC2       gS                                      1.00e-10  0.00      2.0
 4692 gC3       PHOTON              gC2       gC                                      2.60e-10  0.00      2.3
 4693 gC3H      PHOTON              gC3       gH                                      1.00e-09  0.00      1.7
 4694 gC3H2     PHOTON              gC3       gH2                                     1.00e-09  0.00      1.7
 4695 gC3H2     PHOTON              gC3H      gH                                      1.00e-09  0.00      1.7
 4696 gC3H3     PHOTON              gC3H2     gH                                      1.00e-09  0.00      1.7
 4697 gC3H3     PHOTON              gC3H      gH2                                     1.00e-09  0.00      1.7
 4698 gC3H3N    PHOTON              gC2H3     gCN                                     1.00e-10  0.00      1.7
 4699 gC3H4     PHOTON              gC3H2     gH2                                     2.25e-10  0.00      1.7
 4700 gC3H4     PHOTON              gC3H3     gH                                      1.84e-09  0.00      1.7
 4701 gC3N      PHOTON              gC2       gCN                                     5.00e-10  0.00      1.8
 4702 gC3O      PHOTON              gC2       gCO                                     4.52e-09  0.00      1.6
 4703 gC3P      PHOTON              gCCP      gC                                      1.00e-09  0.00      1.7
 4704 gC3S      PHOTON              gC2       gCS                                     1.00e-10  0.00      2.0
 4705 gC4       PHOTON              gC2       gC2                                     2.00e-10  0.00      2.3
 4706 gC4       PHOTON              gC3       gC                                      2.00e-10  0.00      2.3
 4707 gC4H      PHOTON              gC2H      gC2                                     1.00e-09  0.00      1.7
 4708 gC4H      PHOTON              gC4       gH                                      1.00e-09  0.00      1.7
 4709 gC4H2     PHOTON              gC2H      gC2H                                    1.13e-09  0.00      1.6
 4710 gC4H2     PHOTON              gC4H      gH                                      1.13e-09  0.00      1.6
 4711 gC4H3     PHOTON              gC4H2     gH                                      1.00e-09  0.00      1.7
 4712 gC4H4     PHOTON              gC3H4     gC                                      1.13e-09  0.00      1.6
 4713 gC4N      PHOTON              gC3       gCN                                     5.00e-10  0.00      1.7
 4714 gC4P      PHOTON              gC3P      gC                                      1.00e-09  0.00      1.7
 4715 gC4S      PHOTON              gC3       gCS                                     1.00e-10  0.00      2.0
 4716 gC5       PHOTON              gC3       gC2                                     1.00e-11  0.00      1.7
 4717 gC5H      PHOTON              gC2H      gC3                                     1.00e-11  0.00      1.7
 4718 gC5H      PHOTON              gC3H      gC2                                     1.00e-11  0.00      1.7
 4719 gC5H      PHOTON              gC5       gH                                      1.00e-11  0.00      1.7
 4720 gC5H2     PHOTON              gC3H      gC2H                                    1.00e-11  0.00      1.7
 4721 gC5H2     PHOTON              gC5H      gH                                      1.00e-11  0.00      1.7
 4722 gC5H3     PHOTON              gC5H2     gH                                      1.00e-09  0.00      1.7
 4723 gC5H4     PHOTON              gC5H2     gH2                                     1.00e-09  0.00      1.7
 4724 gC5N      PHOTON              gC4       gCN                                     5.00e-10  0.00      1.7
 4725 gC6       PHOTON              gC5       gC                                      1.00e-09  0.00      1.7
 4726 gC6H      PHOTON              gC3H      gC3                                     5.00e-12  0.00      1.7
 4727 gC6H      PHOTON              gC2H      gC4                                     5.00e-12  0.00      1.7
 4728 gC6H2     PHOTON              gC6H      gH                                      1.00e-09  0.00      1.7
 4729 gC6H3     PHOTON              gC6H2     gH                                      1.00e-09  0.00      1.7
 4730 gC6H4     PHOTON              gC6H2     gH2                                     1.00e-09  0.00      1.7
 4731 gC6H6     PHOTON              gC6H4     gH2                                     1.00e-09  0.00      1.7
 4732 gC7       PHOTON              gC6       gC                                      1.00e-09  0.00      1.7
 4733 gC7H      PHOTON              gC7       gH                                      1.00e-09  0.00      1.7
 4734 gC7H2     PHOTON              gC7H      gH                                      1.00e-09  0.00      1.7
 4735 gC7H3     PHOTON              gC7H2     gH                                      1.00e-09  0.00      1.7
 4736 gC7H4     PHOTON              gC7H2     gH2                                     1.00e-09  0.00      1.7
 4737 gC7N      PHOTON              gC6       gCN                                     1.00e-09  0.00      1.7
 4738 gC8       PHOTON              gC7       gC                                      1.00e-09  0.00      1.7
 4739 gC8H      PHOTON              gC8       gH                                      1.00e-09  0.00      1.7
 4740 gC8H2     PHOTON              gC8H      gH                                      1.00e-09  0.00      1.7
 4741 gC8H3     PHOTON              gC8H2     gH                                      1.00e-09  0.00      1.7
 4742 gC8H4     PHOTON              gC8H2     gH2                                     1.00e-09  0.00      1.7
 4743 gC9       PHOTON              gC8       gC                                      1.00e-09  0.00      1.7
 4744 gC9H      PHOTON              gC9       gH                                      1.00e-09  0.00      1.7
 4745 gC9H2     PHOTON              gC9H      gH                                      1.00e-09  0.00      1.7
 4746 gC9H3     PHOTON              gC9H2     gH                                      1.00e-09  0.00      1.7
 4747 gC9H4     PHOTON              gC9H2     gH2                                     1.00e-09  0.00      1.7
 4748 gC9N      PHOTON              gC8       gCN                                     1.00e-09  0.00      1.7
 4749 gCCl      PHOTON              gCl       gC                                      1.00e-10  0.00      2.0
 4750 gCCP      PHOTON              gCP       gC                                      5.00e-10  0.00      1.7
 4751 gCCP      PHOTON              gC2       gP                                      5.00e-10  0.00      1.7
 4752 gCH       PHOTON              gC        gH                                      1.40e-10  0.00      1.5
 4753 gCH2      PHOTON              gCH       gH                                      5.00e-11  0.00      1.7
 4754 gC2H2N    PHOTON              gCH2      gCN                                     1.00e-09  0.00      1.7
 4755 gC2H2O    PHOTON              gCH2      gCO                                     9.04e-10  0.00      1.6
 4756 gCH3N     PHOTON              gHCN      gH2                                     1.70e-09  0.00      1.6
 4757 gCH2NH2   PHOTON              gCH2      gNH2                                    1.00e-09  0.00      1.7
 4758 gCH2OH    PHOTON              gCH2      gOH                                     5.00e-10  0.00      1.7
 4759 gCH2PH    PHOTON              gHCP      gH2                                     1.00e-09  0.00      1.7
 4760 gCH3      PHOTON              gCH       gH2                                     3.00e-11  0.00      1.7
 4761 gCH3      PHOTON              gCH2      gH                                      3.00e-11  0.00      1.7
 4762 gCH3C3N   PHOTON              gC3N      gCH3                                    2.00e-11  0.00      1.7
 4763 gCH3C4H   PHOTON              gC4H      gCH3                                    2.00e-11  0.00      1.7
 4764 gCH3C5N   PHOTON              gCH3      gC5N                                    1.00e-09  0.00      1.7
 4765 gCH3C6H   PHOTON              gCH3      gC6H                                    1.00e-09  0.00      1.7
 4766 gCH3C7N   PHOTON              gCH3      gC7N                                    1.00e-09  0.00      1.7
 4767 gC2H4O    PHOTON              gCH4      gCO                                     3.43e-10  0.00      1.5
 4768 gC2H4O    PHOTON              gCH3      gHCO                                    3.43e-10  0.00      1.5
 4769 gC2H3N    PHOTON              gCH3      gCN                                     1.56e-09  0.00      1.9
 4770 gCH3NH    PHOTON              gCH3N     gH                                      1.00e-09  0.00      1.7
 4771 gCH3OCH3  PHOTON              gH2CO     gCH4                                    8.21e-10  0.00      1.6
 4772 gCH4O     PHOTON              gH2CO     gH2                                     7.19e-10  0.00      1.7
 4773 gCH4      PHOTON              gCH2      gH2                                     4.80e-10  0.00      2.2
 4774 gCH4      PHOTON              gCH       gH2       gH                            1.60e-10  0.00      2.2
 4775 gCH4      PHOTON              gCH3      gH                                      1.60e-10  0.00      2.2
 4776 gCH5N     PHOTON              gCH3N     gH        gH                            6.63e-11  0.00      1.5
 4777 gCH5N     PHOTON              gCN       gH2       gH2       gH                  9.42e-11  0.00      1.8
 4778 gCH5N     PHOTON              gHCN      gH2       gH        gH                  3.50e-10  0.00      1.7
 4779 gCH5N     PHOTON              gCH3      gNH2                                    1.55e-10  0.00      1.7
 4780 gCHNH     PHOTON              gCH       gNH                                     1.00e-10  0.00      1.7
